INTEGRATED_NAME,ADDRESS,TREES_KIND
장안벚꽃로,"서울특별시 동대문구 장안동 473-5","양버즘나무 이팝나무 회화나무 "
전농로,"서울특별시 동대문구 전농동 135-33","은행나무 "
한천로66길,"서울특별시 동대문구 이문동 213-5","은행나무 "
한천로,"서울특별시 동대문구 장안동 118-4","양버즘나무 은행나무 "
서울시립대로,"서울특별시 동대문구 전농동 150-84","은행나무 느티나무 벚나무 "
외대역동로,"서울특별시 동대문구 이문동 354-5","이팝나무 "
제기로17길,"서울특별시 동대문구 청량리동 205-386","은행나무 "
이문로,"서울특별시 동대문구 이문동 288-3","양버즘나무 은행나무 "
천호대로,"서울특별시 동대문구 답십리동 492-6","양버즘나무 은행나무 "
한천로,"서울특별시 동대문구 답십리동 1-448","양버즘나무 "
약령시로,"서울특별시 동대문구 청량리동 819","양버즘나무 은행나무 "
답십리로,"서울특별시 동대문구 답십리동 2-295","이팝나무 "
서울시립대로,"서울특별시 동대문구 전농동 150-56","은행나무 "
장한로,"서울특별시 동대문구 장안동 469-11","양버즘나무 이팝나무 은행나무 "
한천로,"서울특별시 동대문구 휘경동 산 6-35","양버즘나무 은행나무 "
천호대로,"서울특별시 동대문구 답십리동 528","양버즘나무 "
천호대로47길,"서울특별시 동대문구 답십리동 645-8","느티나무 "
천호대로,"서울특별시 동대문구 신설동 102-6","양버즘나무 은행나무 "
전농로,"서울특별시 동대문구 답십리동 530-2","양버즘나무 은행나무 "
황물로,"서울특별시 동대문구 전농동 672","양버즘나무 은행나무 느티나무 "
답십리로,"서울특별시 동대문구 답십리동 245-1","양버즘나무 은행나무 "
회기로,"서울특별시 동대문구 회기동 346-8","은행나무 "
장한로,"서울특별시 동대문구 장안동 469-8","양버즘나무 이팝나무 은행나무 "
외대역동로,"서울특별시 동대문구 휘경동 108-3","이팝나무 "
사가정로,"서울특별시 동대문구 전농동 3-89","은행나무 "
천호대로,"서울특별시 동대문구 용두동 696-6","은행나무 "
서울시립대로,"서울특별시 동대문구 전농동 572-1","은행나무 "
망우로,"서울특별시 동대문구 휘경동 343-55","은행나무 "
망우로,"서울특별시 동대문구 휘경동 267-1","은행나무 "
답십리로,"서울특별시 동대문구 답십리동 475-111","양버즘나무 은행나무 "
망우로,"서울특별시 동대문구 휘경동 33-4","은행나무 "
한천로,"서울특별시 동대문구 전농동 1-33","양버즘나무 은행나무 "
한천로,"서울특별시 동대문구 이문동 356","은행나무 "
사가정로,"서울특별시 동대문구 전농동 25-2","은행나무 "
사가정로,"서울특별시 동대문구 장안동 107-4","이팝나무 "
한천로,"서울특별시 동대문구 장안동 105-6","양버즘나무 은행나무 "
한천로,"서울특별시 동대문구 답십리동 1-92","양버즘나무 은행나무 물푸레나무 "
황물로,"서울특별시 동대문구 전농동 670","양버즘나무 은행나무 "
안암로,"서울특별시 동대문구 용두동 747","양버즘나무 은행나무 벚나무 "
안암로,"서울특별시 동대문구 용두동 776","양버즘나무 은행나무 "
한천로,"서울특별시 동대문구 이문동 217-6","양버즘나무 은행나무 "
한천로,"서울특별시 동대문구 답십리동 936","양버즘나무 은행나무 "
제기로17길,"서울특별시 동대문구 청량리동 205-66","은행나무 "
신이문로,"서울특별시 동대문구 이문동 237-3","은행나무 "
회기로,"서울특별시 동대문구 청량리동 산 1-137","은행나무 "
전농로,"서울특별시 동대문구 전농동 25-2","양버즘나무 은행나무 "
한천로,"서울특별시 동대문구 이문동 209-16","은행나무 "
고산자로,"서울특별시 동대문구 제기동 1032","양버즘나무 "
황물로,"서울특별시 동대문구 답십리동 961-7","양버즘나무 "
답십리로,"서울특별시 동대문구 전농동 648-164","양버즘나무 은행나무 "
한천로14길,"서울특별시 동대문구 장안동 471-2","양버즘나무 이팝나무 은행나무 "
한천로,"서울특별시 동대문구 휘경동 57-2","은행나무 메타세쿼이아 "
사가정로,"서울특별시 동대문구 전농1동 314-4","은행나무 "
장안벚꽃로,"서울특별시 동대문구 장안동 473-4","양버즘나무 이팝나무 느티나무 회화나무 "
망우로21길,"서울특별시 동대문구 휘경동 261-1","은행나무 "
답십리로,"서울특별시 동대문구 답십리동 62-5","이팝나무 "
한천로,"서울특별시 동대문구 휘경동 43-176","양버즘나무 은행나무 "
한천로,"서울특별시 동대문구 장안동 550","양버즘나무 은행나무 "
회기로,"서울특별시 동대문구 제기동 1142-29","은행나무 "
안암로,"서울특별시 동대문구 제기동 1154","은행나무 "
한천로,"서울특별시 동대문구 이문동 209-20","양버즘나무 "
제기로17길,"서울특별시 동대문구 청량리동 203-25","은행나무 "
천호대로,"서울특별시 동대문구 답십리동 494-8","양버즘나무 산딸나무 "
한천로,"서울특별시 동대문구 장안동 482","양버즘나무 은행나무 백합나무 "
약령시로,"서울특별시 동대문구 제기동 851","양버즘나무 은행나무 "
장안벚꽃로,"서울특별시 동대문구 휘경동 49-23","회화나무 "
천호대로,"서울특별시 동대문구 답십리동 495-5","양버즘나무 은행나무 "
천호대로47길,"서울특별시 동대문구 답십리동 645-9","느티나무 "
천호대로,"서울특별시 동대문구 답십리동 492-12","양버즘나무 "
전농로,"서울특별시 동대문구 답십리동 264-1","양버즘나무 은행나무 "
장안벚꽃로,"서울특별시 동대문구 장안동 456-13","양버즘나무 이팝나무 회화나무 "
휘경로,"서울특별시 동대문구 휘경동 146-116","양버즘나무 "
사가정로,"서울특별시 동대문구 전농동 42-4","양버즘나무 단풍나무 은행나무 "
한천로,"서울특별시 동대문구 답십리동 2-32","양버즘나무 "
청계천로,"서울특별시 동대문구 용두동 701-6","단풍나무 이팝나무 느티나무 "
청계천로,"서울특별시 동대문구 신설동 100-23","느티나무 "
전농로,"서울특별시 동대문구 전농동 295-61","은행나무 "
회기로,"서울특별시 동대문구 청량리동 206-4","은행나무 "
장안벚꽃로,"서울특별시 동대문구 휘경동 49-54","회화나무 "
서울시립대로,"서울특별시 동대문구 전농동 150-10","은행나무 "
답십리로,"서울특별시 동대문구 전농동 625-5","양버즘나무 은행나무 "
황물로,"서울특별시 동대문구 답십리동 530-18","백합나무 "
한천로,"서울특별시 동대문구 전농동 1-203","이팝나무 "
청계천로,"서울특별시 동대문구 신설동 109-8","느티나무 "
서울시립대로,"서울특별시 동대문구 전농동 569-54","은행나무 "
왕산로,"서울특별시 동대문구 전농동 620-67","양버즘나무 이팝나무 은행나무 느티나무 "
한천로,"서울특별시 동대문구 이문동 101-20","양버즘나무 은행나무 "
신이문로,"서울특별시 동대문구 이문동 357-3","은행나무 "
전농로,"서울특별시 동대문구 전농동 141-171","은행나무 "
한천로,"서울특별시 동대문구 답십리동 951-3","양버즘나무 이팝나무 은행나무 "
전농로,"서울특별시 동대문구 전농동 103-524","은행나무 "
회기로,"서울특별시 동대문구 휘경동 319-42","양버즘나무 은행나무 "
회기로,"서울특별시 동대문구 회기동 45-46","은행나무 "
전농로,"서울특별시 동대문구 전농동 184-4","은행나무 "
장안벚꽃로,"서울특별시 동대문구 장안동 440-16","이팝나무 "
천호대로,"서울특별시 동대문구 답십리동 493-7","양버즘나무 은행나무 "
고산자로,"서울특별시 동대문구 제기동 796","양버즘나무 "
전농로,"서울특별시 동대문구 답십리동 257-1","양버즘나무 은행나무 "
회기로,"서울특별시 동대문구 청량리동 206-3","은행나무 "
경동시장로,"서울특별시 동대문구 제기동 293","이팝나무 "
사가정로,"서울특별시 동대문구 장안동 105-6","이팝나무 느티나무 "
전농로,"서울특별시 동대문구 전농동 141-62","은행나무 "
회기로,"서울특별시 동대문구 청량리동 산 1-141","은행나무 "
고산자로,"서울특별시 동대문구 제기동 909","양버즘나무 "
약령시로,"서울특별시 동대문구 제기동 1154","느티나무 벚나무 "
천호대로,"서울특별시 동대문구 장안동 472-1","양버즘나무 은행나무 "
답십리로,"서울특별시 동대문구 전농동 623-15","양버즘나무 "
홍릉로,"서울특별시 동대문구 청량리동 204-38","양버즘나무 은행나무 "
망우로,"서울특별시 동대문구 휘경동 34-6","은행나무 "
무학로,"서울특별시 동대문구 용두동 150-32","은행나무 "
한천로,"서울특별시 동대문구 답십리동 12-231","양버즘나무 이팝나무 은행나무 "
