INTEGRATED_NAME,ADDRESS,AREA,TREES_KIND,TREE_NAME,CONIFEROUS_DECIDUOUS,EVERGREEN_DECIDUOUS,SIZE_STRUCTURE,FLOWER_FRUIT,FLOWER,SEASON
천호대로,"서울특별시 동대문구 용두동 47-1",0.050337358499340144,"양버즘나무 단풍나무 이팝나무 산수유 느티나무 ",산수유,활엽수,낙엽수,관목,화목/열매수,봄,가을
천호대로,"서울특별시 동대문구 용두동 47-1",0.050337358499340144,"양버즘나무 단풍나무 이팝나무 산수유 느티나무 ",이팝나무,활엽수,낙엽수,교목,화목,봄,X
천호대로,"서울특별시 동대문구 용두동 47-1",0.050337358499340144,"양버즘나무 단풍나무 이팝나무 산수유 느티나무 ",단풍나무,활엽수,낙엽수,교목,,봄,가을
천호대로,"서울특별시 동대문구 용두동 47-1",0.050337358499340144,"양버즘나무 단풍나무 이팝나무 산수유 느티나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
황물로,"서울특별시 동대문구 전농동 667-4",0.017570731753290648,"양버즘나무 이팝나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
황물로,"서울특별시 동대문구 전농동 667-4",0.017570731753290648,"양버즘나무 이팝나무 은행나무 ",이팝나무,활엽수,낙엽수,교목,화목,봄,X
황물로,"서울특별시 동대문구 전농동 667-4",0.017570731753290648,"양버즘나무 이팝나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
제기로17길,"서울특별시 동대문구 청량리동 520-9",0.0029835842628772665,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
회기로,"서울특별시 동대문구 청량리동 산 5-8",0.021741305586761694,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
사가정로,"서울특별시 동대문구 답십리동 112-3",0.07865510585547797,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
전농로,"서울특별시 동대문구 답십리동 53-1",0.01893440584438743,"양버즘나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
전농로,"서울특별시 동대문구 답십리동 53-1",0.01893440584438743,"양버즘나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
서울시립대로,"서울특별시 동대문구 전농동 129-75",0.015070999217401845,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
천호대로,"서울특별시 동대문구 답십리동 497-34",0.050337358499340144,"양버즘나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
천호대로,"서울특별시 동대문구 답십리동 497-34",0.050337358499340144,"양버즘나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
천호대로,"서울특별시 동대문구 신설동 92-34",0.050337358499340144,"양버즘나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
서울시립대로,"서울특별시 동대문구 전농동 646-22",0.015070999217401845,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
홍릉로,"서울특별시 동대문구 청량리동 205-850",0.010536790657002002,"양버즘나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
홍릉로,"서울특별시 동대문구 청량리동 205-850",0.010536790657002002,"양버즘나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
홍릉로,"서울특별시 동대문구 청량리동 산 1-227",0.010536790657002002,"양버즘나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
홍릉로,"서울특별시 동대문구 청량리동 산 1-227",0.010536790657002002,"양버즘나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
천호대로,"서울특별시 동대문구 장안동 480-18",0.050337358499340144,"양버즘나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
천호대로,"서울특별시 동대문구 장안동 480-18",0.050337358499340144,"양버즘나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
답십리로,"서울특별시 동대문구 전농동 666",0.03436276900247712,"양버즘나무 이팝나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
답십리로,"서울특별시 동대문구 전농동 666",0.03436276900247712,"양버즘나무 이팝나무 은행나무 ",이팝나무,활엽수,낙엽수,교목,화목,봄,X
답십리로,"서울특별시 동대문구 전농동 666",0.03436276900247712,"양버즘나무 이팝나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
천호대로47길,"서울특별시 동대문구 답십리동 462-1",0.0021645883362325815,"느티나무 ",느티나무,활엽수,낙엽수,교목,,여름,X
안암로,"서울특별시 동대문구 용두동 774",0.016756015157060974,"양버즘나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
